cusip,maturity_date,par_amount,coupon_rate,original_price,original_yield,spread,spread_interpolated,deal_id,evaluated_price,evaluated_yield,spread_to_mmd,spread_to_mmd_interpolated,priceTo,reward
852297BC3,2045-10-01,4275000.0,6.25,100.0,6.25,315.0,,0x00102100C07C5AD7,,,,,,4275000.0
14054WAB1,2043-12-15,4275000.0,6.25,98.856,6.35,270.0,,0x00103566F5E4085A,98.4114410227,6.3974109581,215.7,,MATY,4275000.0
74442EBL3,2026-02-01,3395000.0,6.5,100.0,6.5,480.5,479.0,0x001035CE9F1C0068,99.8079552098,6.8591748767,439.9,439.9,MATY,4243750.0
83704MCQ7,2043-06-15,2820000.0,6.75,100.0,6.75,329.0,,0x00103547F1C30858,,,,,,4230000.0
68607AAD3,2052-06-15,2410000.0,7.0,100.0,7.0,338.0,,0x001035125D36075B,,,,,,4217500.0
74443DFU0,2039-02-01,4810000.0,6.125,100.0,6.125,451.5,,0x0010359FEE8903DE,93.2158241526,6.69128767,214.1,,MATY,4208750.0
83704MDK9,2058-06-15,1400000.0,8.25,93.0,8.903,464.30000000000007,,0x001035E0B40D0975,,,,,,4200000.0
424685AJ4,2033-02-01,3435000.0,6.47,100.0,6.47,377.0,,0x001035ECFEB70181,103.2779932376,5.0776849323,213.8,214.8,PARC,4190699.999999999
34061ULX4,2031-06-15,1385000.0,8.25,100.0,8.25,482.8,622.0,0x0010357F4618080C,,,,,,4155000.0
14054CFE4,2061-06-15,3245000.0,6.53,97.0,6.748,509.80000000000007,,0x001035737FC005EC,,,,,,4153600.000000001
57421CFE9,2053-07-01,4745000.0,6.125,100.306,6.07,259.0,,0x0010353FF87D0897,97.393331832,6.3246438337,172.5,,MATY,4151875.0
34061ULR7,2032-08-01,720000.0,11.0,100.0,11.0,788.4,841.0,0x001035F441DD064B,,,,,,4140000.0
34061UDP0,2046-06-15,4715000.0,6.125,98.628,6.23,427.0,,0x0010358E68920253,100.1791788175,5.9134795019,149.3,,PARC,4125625.0
45470EDL6,2043-06-15,4125000.0,6.25,94.625,6.75,367.0,,0x001035CEEE950999,,,,,,4125000.0
13058TRL6,2042-06-01,4120000.0,6.25,99.104,6.33,241.0,,0x001035B5B21B073E,100.4653655604,6.1107260295,198.1,,PARC,4120000.0
04052BCV4,2050-11-01,4090000.0,6.25,100.0,6.25,357.0,,0x001035220B5F0152,91.072,7.0073813544,245.7,,MATY,4090000.0
74443DHE4,2039-02-01,4660000.0,6.125,100.0,6.125,357.5,,0x0010357C10470608,91.800818361,6.81728767,226.7,,MATY,4077500.0
246387RL0,2025-09-01,4075000.0,6.25,100.0,6.25,451.0,446.5,0x00102100450EC3B9,,,,,,4075000.0
14043FAH9,2054-06-15,3260000.0,6.5,100.0,6.5,260.0,,0x00106AD4DE320042,103.6184521831,5.9696438399,136.0,,PARC,4075000.0
56681NGQ4,2056-06-15,3960000.0,6.273,93.0,6.8,507.0,,0x001035FA1A7805B8,,,,,,4051079.9999999986
13058TQN3,2052-04-01,4010000.0,6.25,100.0,6.25,287.0,,0x001035DF2092064E,,,,,,4010000.0
14054CCX5,2043-07-01,3975000.0,6.25,100.0,6.25,487.6,,0x00103570E5930320,88.8387371466,7.381337762,314.1,,MATY,3975000.0
45129GNE1,2045-09-15,3975000.0,6.25,100.0,6.25,243.0,,0x00106A4ACAEA0212,95.814405205,6.6282191822,225.8,,MATY,3975000.0
34061ULT3,2042-06-15,3025000.0,6.56,100.0,6.56,315.0,,0x001035E8203407DE,103.1153692074,5.9267260297,179.7,,PARC,3962749.9999999986
83704MDE3,2058-06-15,1295000.0,8.25,93.0,8.903,464.30000000000007,,0x001035E0B40D0975,,,,,,3885000.0
83704MDJ2,2058-06-15,1295000.0,8.25,93.0,8.903,464.30000000000007,,0x001035E0B40D0975,,,,,,3885000.0
424685AL9,2027-02-01,1945000.0,7.24,100.0,7.24,431.6,484.4,0x001035E1FFB7018D,100.2650753113,7.0521818187,459.2,459.2,MATY,3870550.0000000005
52349KBS4,2042-06-15,3850000.0,6.25,98.648,6.375,318.5,,0x001035A2CEBD09FD,,,,,,3850000.0
74442EKB5,2048-06-15,2550000.0,6.75,91.0,7.547,384.69999999999993,,0x0010350CE3F6063A,,,,,,3825000.0
852297DQ0,2057-06-01,3055000.0,6.5,100.0,6.5,312.0,,0x0010357B8093064B,,,,,,3818750.0
34061UHW1,2056-06-15,3560000.0,6.32,95.0,6.691,516.1,,0x0010356C2E4E052C,,,,,,3809200.000000001
